trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,13,-5.225916167371066,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,8.056016805420368,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,12,4.081194006447723,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,14,-40.30838147520247,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,7,-64.61236128151398,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,7,-32.518552806101596,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,23,1.0655896948528492,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,16,8.43234525715115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-47.66897331158986,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,0,-0.928336676963001,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.3985190410845142}",30,5,7.528696641411217,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.39455371037160114}",25,11,-44.23784333947582,"{0: 11, 1: 0, 2: 0, 3: 3, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,11,-21.538541435763175,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,11,0.32257842705595663,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
